time,station,temperature,wind_dir,wind_speed,wind_impact,clouds,weather
Aktuálny stav počasia - 22.09.2021 - 09:00 LSEČ,Bratislava - Mlynská Dolina,9.8 °C,Z,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 09:00 LSEČ,Bratislava Ivanka,10.3 °C,Z,5 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 22.09.2021 - 09:00 LSEČ,Bratislava Koliba,8.9 °C,Z,3 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 09:00 LSEČ,Bratislava - Mlynská Dolina,9.8 °C,Z,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 09:00 LSEČ,Bratislava Ivanka,10.3 °C,Z,5 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 22.09.2021 - 09:00 LSEČ,Bratislava Koliba,8.9 °C,Z,3 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 10:00 LSEČ,Bratislava - Mlynská Dolina,10.1 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 10:00 LSEČ,Bratislava Ivanka,10.7 °C,Z,7 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 22.09.2021 - 10:00 LSEČ,Bratislava Koliba,9.1 °C,PREM,3 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 10:00 LSEČ,Bratislava - Mlynská Dolina,10.1 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 10:00 LSEČ,Bratislava Ivanka,10.7 °C,Z,7 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 22.09.2021 - 10:00 LSEČ,Bratislava Koliba,9.1 °C,PREM,3 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 11:00 LSEČ,Bratislava - Mlynská Dolina,11.2 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 11:00 LSEČ,Bratislava Ivanka,12.0 °C,Z,5 m/s,,Takmer zamračené,Dážď
Aktuálny stav počasia - 22.09.2021 - 11:00 LSEČ,Bratislava Koliba,10.0 °C,PREM,2 m/s,,Zamračené,Po daždi
Aktuálny stav počasia - 22.09.2021 - 11:00 LSEČ,Bratislava - Mlynská Dolina,11.2 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 11:00 LSEČ,Bratislava Ivanka,12.0 °C,Z,5 m/s,,Takmer zamračené,Dážď
Aktuálny stav počasia - 22.09.2021 - 11:00 LSEČ,Bratislava Koliba,10.0 °C,PREM,2 m/s,,Zamračené,Po daždi
Aktuálny stav počasia - 22.09.2021 - 12:00 LSEČ,Bratislava - Mlynská Dolina,11.5 °C,J,1 m/s,,,
